"BendersOCT_with_p","kr-vs-kp",3196,38,4,3600,10000.0,3600.2285076618195,0.1779636800510183,0.6273075540374664,0.17706719483568079,0.630190942682308
"FlowORT_light","kr-vs-kp",3196,38,4,3600,10000.0,4226.018752908707,0.2042400100861546,0.5724285776017373,0.21589397496087637,0.5485542813417554
"FlowOCT_with_p","kr-vs-kp",3196,38,4,3600,9999.999999999405,3705.3192154884337,0.43115465049454593,0.09755344479607937,0.44871772300469487,0.06087284343052248
"FlowORT_light_e_n","kr-vs-kp",3196,38,4,3600,inf,632.1241419792175,0.5222151839468567,-0.09303624415074449,0.5222139084507043,-0.09367631248174649
"BendersOCT_with_p","house-votes-84",232,16,5,3600,1999.9999999999986,765.3990490436554,0.0010752688172043219,0.9975903614457831,0.0475485661424607,0.8801514656205731
"FlowORT_light","house-votes-84",232,16,5,3600,3999.9999999999945,1750.669214105606,0.00215634989828539,0.9952094090648307,0.07354301572617947,0.8109294976571864
"FlowOCT_with_p","house-votes-84",232,16,5,3600,1999.999999999602,1205.7834286212922,0.0010752688172043078,0.9975903614457831,0.03450508788159112,0.91072790672333
"FlowORT_light_e_n","house-votes-84",232,16,5,3600,inf,60.70378966331482,0.4655390874745714,0.0,0.46586493987049027,-0.1310014165849406
"BendersOCT_with_p","monk2",169,15,4,3600,9203.846149161736,3600.02095451355,0.1834204811546841,0.5139546547149257,0.396078431372549,-0.052445054945054956
"FlowORT_light","monk2",169,15,4,3600,9385.714275078803,3617.7326350688936,0.18193899782135428,0.5201625560077189,0.3727272727272746,-0.012862137862143052
"FlowOCT_with_p","monk2",169,15,4,3600,9403.0036630036,3607.323193979263,0.18193899782135076,0.5196070004521725,0.43208556149732624,-0.16502247752247748
"FlowORT_light_e_n","monk2",169,15,4,3600,10000.0,16.96585898399353,0.3638888888888889,0.04083333333333332,0.3905525846702317,-0.02678571428571428
"BendersOCT_with_p","hayes-roth",132,15,4,3600,25626.442307692367,3600.0161398887635,0.06914645103324363,0.7742702326184145,0.19700854700854703,0.3267320261437908
"FlowORT_light","hayes-roth",132,15,4,3600,1522.8438228438142,3611.2709299087524,0.059667565139263246,0.8056601519471263,0.2230769230769231,0.2428104575163399
"FlowOCT_with_p","hayes-roth",132,15,4,3600,1041.0256410256097,3448.5226736545565,0.059667565139263246,0.8056601519471263,0.20826210826210825,0.2996732026143791
"FlowORT_light_e_n","hayes-roth",132,15,4,3600,10000.0,13.644650220870972,0.29258760107816706,0.046006258234519114,0.2962962962962963,0.017973856209150353
"BendersOCT_with_p","monk1",124,15,5,3600,0.0,16.087993955612184,5.863771869858605e-17,0.9999999999999998,0.008000000000000057,0.9777777777777776
"FlowORT_light","monk1",124,15,5,3600,0.0,51.97706990242004,4.0461461341894593e-16,0.9999999999999991,0.0160000000000002,0.9583333333333328
"FlowOCT_with_p","monk1",124,15,5,3600,0.0,48.66006164550781,0.0,1.0,0.008,0.9777777777777779
"FlowORT_light_e_n","monk1",124,15,5,3600,inf,30.21808819770813,0.5000404040404041,-0.06086956521739131,0.5006666666666667,-0.32166666666666666
"BendersOCT_with_p","tic-tac-toe",958,27,4,3600,10000.0,3600.0537374019623,0.16101116213520514,0.5352872521850177,0.21090750436300176,0.39089684920534556
"FlowORT_light","tic-tac-toe",958,27,4,3600,10000.0,3739.830522727966,0.17563359329523115,0.4934531889293986,0.22229493891797683,0.35846043596393506
"FlowOCT_with_p","tic-tac-toe",958,27,4,3600,9999.99999999945,3628.326633024216,0.17980739444650584,0.48156028951409563,0.20773887434554972,0.39836238162356563
"FlowORT_light_e_n","tic-tac-toe",958,27,4,3600,inf,149.93999156951904,0.6534448071731782,-0.8859424607933042,0.6534467713787085,-0.8919739433727745
"BendersOCT_with_p","monk3",122,15,5,3600,0.0,441.76184582710266,6.946777351641521e-18,1.0,0.15666666666666668,0.6803030303030303
"FlowORT_light","monk3",122,15,5,3600,3999.9999999999977,1795.5613410949707,0.0041026769107264105,0.9916666567361043,0.17000000370238186,0.6393939309794352
"FlowOCT_with_p","monk3",122,15,5,3600,1999.9999999995737,884.4953548908234,0.002040816326530612,0.9958333333333333,0.13166666666666668,0.7287878787878788
"FlowORT_light_e_n","monk3",122,15,5,3600,inf,31.892084217071535,0.4918156953503051,-0.004166666666666652,0.492,-0.016666666666666653
"BendersOCT_with_p","breast-cancer",277,38,5,3600,10000.0,3600.0475780010224,0.11462231462231462,0.6081336905217503,0.2998701298701299,-0.022539682539682526
"FlowORT_light","breast-cancer",277,38,5,3600,10000.0,3754.195332336426,0.12815213403448764,0.5618136092762936,0.29590909090909034,-0.023492063492061878
"FlowOCT_with_p","breast-cancer",277,38,5,3600,9999.999999999718,3623.7292273044586,0.12093677387795035,0.585771343084776,0.2746103896103896,0.06424603174603179
"FlowORT_light_e_n","breast-cancer",277,38,5,3600,inf,155.38599534034728,0.2924340630222983,0.0,0.2926623376623376,0.0
"BendersOCT_with_p","soybean-small",47,45,5,3600,inf,3600.0399630069733,3.964506775604145e-08,0.9999998729762382,0.014074118752287321,0.9492061767625957
"FlowORT_light","soybean-small",47,45,5,3600,0.0,35.76183066368103,1.4188113304740265e-16,0.9999999999999997,0.022222222222222386,0.9249999999999995
"FlowOCT_with_p","soybean-small",47,45,5,3600,0.0,6.722411680221557,2.1817540661730496e-17,1.0,0.013333333333333386,0.9464285714285712
"FlowORT_light_e_n","soybean-small",47,45,5,3600,inf,31.826416969299316,0.5740635372214319,-0.7361650028213489,0.5681481481481481,-1.0265873015873015
