"FlowORT_binary","balance-scale_enc.csv",625,2,3600,2,213.0,0.0,11491.0,241.7993950843811,0.01875521159057736,0.3856,0.3408,0.0,True,False
"FlowORT_binary","balance-scale_enc.csv",625,3,3600,9,191.99999852941176,100.0,20839.0,3600.67706823349,0.014683656451949023,0.3872,0.3072,0.0,True,True
"FlowORT","balance-scale_enc.csv",625,2,3600,2,5213.0,0.0,1798.0,69.87179803848267,0.01875521159057736,0.3856,0.3408,0.0,True,False
"FlowORT","balance-scale_enc.csv",625,3,3600,9,15183.999999999969,0.07903055848255354,212463.0,3600.6692111492157,0.07982853867002493,0.361599999999991,0.29440000000000865,0.0,True,True
"FlowORT_binary","breast-cancer_enc.csv",277,2,3600,2,62.0,0.0,11684.0,118.04661560058594,-0.08175862937767686,0.22382671480144403,0.22382671480144403,0.0,True,True
"FlowORT_binary","breast-cancer_enc.csv",277,3,3600,9,54.99998287302683,100.0,46685.0,3600.4440908432007,0.04037540942302853,0.19855595667870035,0.19855595667870035,0.0,True,True
"FlowORT","breast-cancer_enc.csv",277,2,3600,2,1169.9999999999998,0.0,5620.0,31.706048011779785,-0.08175862937767686,0.22382671480144403,0.22382671480144403,0.0,True,True
"FlowORT","breast-cancer_enc.csv",277,3,3600,9,3378.0,1.1841326228536924,405164.0,3600.4614350795746,0.057823129251700744,0.19494584837545126,0.19494584837545126,0.0,True,True
"FlowORT_binary","hayes-roth_enc.csv",132,2,3600,2,54.99999600000001,0.0,2520.0,4.515864133834839,0.21451565700907238,0.4621212121212121,0.4166666666666667,0.0,True,False
"FlowORT_binary","hayes-roth_enc.csv",132,3,3600,9,37.99999875605677,65.61403396208273,627564.0,3600.1199111938477,0.45917474510702605,0.318181800270195,0.2878787968346005,6.567595933759662e-08,True,True
"FlowORT","hayes-roth_enc.csv",132,2,3600,2,1110.9999999999998,0.0,2133.0,3.245129108428955,0.21451565700907238,0.4621212121212121,0.4166666666666667,0.0,True,False
"FlowORT","hayes-roth_enc.csv",132,3,3600,2,3206.0,0.008317737575357746,61513.0,100.97549796104431,0.4334211296458883,0.3333333333333333,0.2878787878787879,0.0,True,True
"FlowORT_binary","house-votes-84_enc.csv",232,2,3600,2,7.0,0.0,789.0,4.009529113769531,0.8787335722819594,0.03017241379310345,0.03017241379310345,0.0,True,True
"FlowORT_binary","house-votes-84_enc.csv",232,3,3600,9,4.999997675381665,100.0,73399.0,3600.2079100608826,0.9133811230585425,0.021551724137931036,0.021551724137931036,0.0,True,False
"FlowORT","house-votes-84_enc.csv",232,2,3600,2,935.0,0.0,193.0,1.4136621952056885,0.8787335722819594,0.03017241379310345,0.03017241379310345,0.0,True,True
"FlowORT","house-votes-84_enc.csv",232,3,3600,2,2789.0,0.009778675967330359,46249.0,177.21718215942383,0.9133811230585425,0.021551724137931036,0.021551724137931036,0.0,True,False
"FlowORT_binary","spect_enc.csv",267,2,3600,2,54.99999967226667,5.090922461427357e-09,10254.0,62.49758982658386,-0.25943396226415105,0.20599250936329588,0.20599250936329588,0.0,True,False
"FlowORT_binary","spect_enc.csv",267,3,3600,9,48.0,31.25000000000022,50076.0,3600.31862616539,-0.09914236706689539,0.1797752808988764,0.1797752808988764,0.0,True,True
"FlowORT","spect_enc.csv",267,2,3600,2,1123.0,0.0,6497.0,18.833231210708618,-0.25943396226415105,0.20599250936329588,0.20599250936329588,0.0,True,False
"FlowORT","spect_enc.csv",267,3,3600,9,3252.0,0.030750307503284786,781689.0,3600.310042858124,-0.09914236706689539,0.1797752808988764,0.1797752808988764,0.0,True,True
