"BendersOCT_with_p","monk1_enc_reg.csv",124,15,4,5,3600,0.0,3.8589627265930178,1.4318512705468687e-17,1.0,2.1612341546036382e-17,1.0
"FlowORT_light","monk1_enc_reg.csv",124,15,4,5,3600,0.0,5.700813484191895,4.1852043716172566e-16,0.9999999999999991,0.008000000000000233,0.9749999999999993
"FlowOCT_with_p","monk1_enc_reg.csv",124,15,4,5,3600,0.0,10.3288818359375,1.2560098864446215e-17,1.0,0.008000000000000021,0.975
"FlowORT_light_e_n","monk1_enc_reg.csv",124,15,4,5,3600,0.0,5.170853137969971,2.866259418362571e-16,0.9999999999999993,2.181218169046891e-16,0.9999999999999994
"BendersOCT_with_p","house-votes-84_enc_reg.csv",232,16,4,5,3600,5999.99999999999,2190.7584204673767,0.003237444525582879,0.9930354661600921,0.038852932995046593,0.9021752354220494
"FlowORT_light","house-votes-84_enc_reg.csv",232,16,4,5,3600,5999.999999999987,2243.3388413906096,0.003237443833696045,0.9930354683609746,0.04320074794686023,0.8926514480567352
"FlowOCT_with_p","house-votes-84_enc_reg.csv",232,16,4,5,3600,5999.9999999956235,2491.922911310196,0.003237430979366475,0.9930354960213524,0.030249768732654964,0.9262040971995205
"FlowORT_light_e_n","house-votes-84_enc_reg.csv",232,16,4,5,3600,5999.999999999989,2265.3910855293275,0.0032374309793665257,0.9930354960213524,0.043108233117483866,0.8896752751443826
"BendersOCT_with_p","hayes-roth_enc_reg.csv",132,15,4,5,3600,220.5897444338305,3600.010033559799,0.06535489667565196,0.7871366012224866,0.19330484330484338,0.3516339869281043
"FlowORT_light","hayes-roth_enc_reg.csv",132,15,4,5,3600,4.000022214303284,2148.870429801941,0.059667565139263246,0.8056601519471263,0.2118233618233618,0.2781045751633987
"FlowOCT_with_p","hayes-roth_enc_reg.csv",132,15,4,5,3600,1.3333323012324763,2046.5572294712067,0.059667565139263246,0.8056601519471263,0.21552706552706552,0.2663398692810458
"FlowORT_light_e_n","hayes-roth_enc_reg.csv",132,15,4,5,3600,4.000013508425958,1858.1222238063813,0.059667565139263246,0.8056601519471263,0.22706552706552707,0.2323529411764706
